,postcode,lat,long,ccg,loc_code
0,BS484PE,51.426623,-2.751212,"NHS Bristol, North Somerset and South Gloucestershire",E06000024
1,SN159SL,51.460931,-2.115246,NHS Wiltshire,E06000054
2,BD131FA,53.765039,-1.836934,NHS Bradford Districts,E08000032
3,PA2 6NJ,55.834894,-4.420696,Renfrewshire Community Health Partnership,S12000038
